number of features,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
1,0.172163895282,0.275185503773,0.318138359322,0.198378000699,0.39689536561,0.51322526888,0.216966283092,0.322102213445,0.302193324783,0.400924987137,0.280406493547,0.213692675696,0.225657205878,0.338493140868,0.386762434893,0.287382521889,0.368873661558,0.326159077116,0.310100475873,0.364666334257,0.241037576239
2,0.170212249875,0.308229201694,0.287809578611,0.214534058519,0.424959453694,0.555607938091,0.479649245092,0.358116685782,0.33034136703,0.386277637912,0.327234155705,0.239633412522,0.260823804941,0.345491104009,0.413663249184,0.282378551366,0.477345132633,0.301984753569,0.258638004903,0.38717643078,0.282527998939
3,0.220131633338,0.356898744172,0.303334151491,0.298622704742,0.468171740363,0.532211652491,0.530318006863,0.362454871903,0.330231851643,0.400682543312,0.362086302365,0.270208435077,0.279148788347,0.384464437977,0.454259247179,0.283539698477,0.500842092394,0.302064153202,0.322045696688,0.405977745869,0.31682133338
4,0.246282453587,0.391225113171,0.300613464695,0.327745440371,0.49736855541,0.524100037109,0.543483618896,0.40489613444,0.340534300166,0.413641176905,0.389684104766,0.29623217834,0.274465128386,0.418891618797,0.465196015284,0.308326817941,0.503069533776,0.30091342274,0.350446341061,0.427171126227,0.332628088003
5,0.25302674257,0.426302469131,0.309281470602,0.374229949896,0.505943053967,0.524529703568,0.555243938332,0.405199012036,0.346756675223,0.42260863341,0.411983527342,0.282399955848,0.276010482711,0.412995355232,0.482623808279,0.308250699486,0.512994584034,0.31451598778,0.312065331786,0.45301692374,0.336017841279
10,0.305032652601,0.493035688488,0.353333974978,0.50584562848,0.611740360409,0.544180025684,0.628256454736,0.410164989685,0.362095878499,0.486383169075,0.457243428513,0.290395544452,0.291259943274,0.455665260587,0.53332998907,0.301109118983,0.5343775663,0.280177668093,0.334986667949,0.502201412698,0.386359428373
33,0.414056318098,0.596332022923,0.395605102298,0.596748407302,0.663349828652,0.557078812383,0.623719146753,0.432384564616,0.38378648728,0.51209319534,0.507978084263,0.308857701906,0.300427699308,0.495625683617,0.520037529736,0.284734422042,0.572186890065,0.345062391763,0.431756413006,0.520740227373,0.435875803661
100,0.457640109661,0.623803371689,0.402246138802,0.623436089043,0.669041297047,0.557119563778,0.596215414821,0.431530890615,0.404659565572,0.505884049031,0.483086557228,0.300010424546,0.296698148483,0.518562043805,0.527166648674,0.283636077753,0.577351138713,0.375430162373,0.472764839258,0.54354906026,0.46168268239
333,0.470982050476,0.617534933508,0.425418184712,0.623897577456,0.677061444623,0.558707319886,0.5795346084,0.452248606269,0.405236348938,0.496298590002,0.496992073263,0.295197016047,0.283591350475,0.517500436775,0.517509431246,0.308068430629,0.564795067927,0.344306375015,0.47362150508,0.537613297094,0.450728685145
1000,0.435645306174,0.589703677842,0.415857192685,0.607026617326,0.675011075936,0.5356650077,0.583170292808,0.44791518181,0.42373243736,0.485913155001,0.488221934234,0.298451313935,0.276751347162,0.507291030815,0.518526832378,0.301202705699,0.543898840213,0.350995524519,0.459848799304,0.532446245503,0.454048686176
3333,0.404254645064,0.559581267299,0.330936182813,0.580449573441,0.674525581308,0.479094701318,0.556076884858,0.473958390139,0.365129808696,0.477254283597,0.456054204514,0.222477895597,0.200395839204,0.476698078602,0.484810077348,0.179256610409,0.517308800116,0.340608519577,0.375948583175,0.523800833961,0.418971407437
10000,0.364523902865,0.53614823085,0.323519778023,0.545609317641,0.635882571586,0.433857842811,0.517032648542,0.458821950944,0.34993305772,0.486881113382,0.440215983422,0.196244539447,0.175176263499,0.440852633387,0.455523976965,0.167065749303,0.4737959617,0.332784402206,0.320204244144,0.541734093319,0.407324991315
