number of features,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
1,0.566321216335,0.259559222347,0.318138359322,0.198378000699,0.407672903617,0.51322526888,0.216966283092,0.322102213445,0.301040324509,0.400924987137,0.282538284363,0.213692675696,0.225657205878,0.356965512998,0.386762434893,0.287382521889,0.390145469971,0.326159077116,0.310100475873,0.364666334257,0.325765442848
2,0.569994532841,0.318291002836,0.297473981969,0.214534058519,0.424959453694,0.555607938091,0.479649245092,0.358116685782,0.33034136703,0.412961747579,0.327234155705,0.239076369641,0.260823804941,0.345491104009,0.417471187149,0.282378551366,0.477345132633,0.301984753569,0.277541138422,0.38717643078,0.307232280856
3,0.587651700855,0.362037793484,0.303334151491,0.311834400251,0.468171740363,0.533325192822,0.530318006863,0.38033589371,0.330231851643,0.396639343011,0.362086302365,0.270208435077,0.279148788347,0.377610910087,0.454259247179,0.283539698477,0.491469259016,0.302064153202,0.322045696688,0.405977745869,0.351942789211
4,0.591887899881,0.391225113171,0.300613464695,0.327745440371,0.482455784308,0.524100037109,0.543483618896,0.40489613444,0.341555135885,0.413641176905,0.389684104766,0.29623217834,0.274682472534,0.417880078109,0.465196015284,0.308326817941,0.503069533776,0.30091342274,0.350446341061,0.41907161545,0.374049500728
5,0.601346932729,0.426302469131,0.309281470602,0.34362490915,0.505943053967,0.524529703568,0.555243938332,0.405199012036,0.347114519108,0.407900193042,0.391227392945,0.282399955848,0.275551501882,0.415319036142,0.482623808279,0.308250699486,0.523527166542,0.30954096826,0.312065331786,0.45301692374,0.38207757867
10,0.620453993475,0.493035688488,0.353161397379,0.504024714986,0.611740360409,0.544180025684,0.640499366699,0.409937605222,0.363768927711,0.488446531853,0.457243428513,0.290056098091,0.291259943274,0.454231752865,0.53332998907,0.300642980401,0.5343775663,0.280401560939,0.338475636356,0.502201412698,0.43417675199
33,0.663222246868,0.594464744578,0.395744748198,0.596577823982,0.661364727895,0.556980164451,0.624584089232,0.432260438511,0.384187704506,0.510547227546,0.50865561978,0.315297143499,0.302379995632,0.497679269489,0.518925326971,0.28526568597,0.572186890065,0.345273908686,0.431525141142,0.519077439557,0.479828653624
100,0.686659055343,0.624000314777,0.404841524674,0.623499620303,0.670656022027,0.557456619761,0.595048654715,0.430940781657,0.417340732235,0.505228027669,0.482262354125,0.307708190439,0.301481772592,0.52344368981,0.522495941342,0.287029772771,0.57514681446,0.378591243158,0.470361001634,0.548436613613,0.508892969924
333,0.711893608958,0.61786307384,0.432283561001,0.622892958657,0.672730667107,0.555118193675,0.570530056678,0.456369728792,0.435233956579,0.49645780096,0.503935561044,0.334516064346,0.275427628022,0.516559755611,0.501787665155,0.304410910172,0.55045841353,0.366729180354,0.43144061142,0.540833728661,0.504219025502
1000,0.703811019774,0.591172663367,0.446719717657,0.606937992621,0.672193149031,0.550124544312,0.570874478248,0.443351621107,0.444404200314,0.500436140837,0.504484069123,0.352386169434,0.265433054736,0.522756613542,0.501355494931,0.314571869222,0.536997215514,0.361653070727,0.427663636765,0.541731881824,0.5286696961
3333,0.690106104386,0.592820619344,0.414417153415,0.60338951608,0.676394943786,0.498368142717,0.532243461482,0.476668028447,0.409850734366,0.499271889923,0.508175821694,0.326152586132,0.249049100987,0.510177296934,0.530030902838,0.264955694151,0.5084767177,0.33367812406,0.368685788037,0.544480244526,0.538266938036
10000,0.665961466525,0.566615666591,0.373300088474,0.577396268506,0.669518593217,0.450781232118,0.513011068548,0.487811831479,0.384196532522,0.496904343736,0.470219494471,0.273218055974,0.210230418812,0.469113857537,0.495989707852,0.215147083948,0.467315522355,0.353723354496,0.36327445096,0.544739831375,0.522315364091
