#oID	individual	descriptor	value
243	1	INTENSITY/STRENGTH	73
454	1	INTENSITY/STRENGTH	57
679	1	INTENSITY/STRENGTH	0
1030	1	INTENSITY/STRENGTH	0
1060	1	INTENSITY/STRENGTH	53
2682	1	INTENSITY/STRENGTH	51
6137	1	INTENSITY/STRENGTH	0
6386	1	INTENSITY/STRENGTH	8
6826	1	INTENSITY/STRENGTH	5
6989	1	INTENSITY/STRENGTH	65
7047	1	INTENSITY/STRENGTH	58
7409	1	INTENSITY/STRENGTH	95
7601	1	INTENSITY/STRENGTH	51
7632	1	INTENSITY/STRENGTH	6
7792	1	INTENSITY/STRENGTH	58
7820	1	INTENSITY/STRENGTH	76
7826	1	INTENSITY/STRENGTH	55
8038	1	INTENSITY/STRENGTH	54
8048	1	INTENSITY/STRENGTH	16
8051	1	INTENSITY/STRENGTH	79
8078	1	INTENSITY/STRENGTH	77
8137	1	INTENSITY/STRENGTH	64
8159	1	INTENSITY/STRENGTH	57
8163	1	INTENSITY/STRENGTH	10
8175	1	INTENSITY/STRENGTH	6
8180	1	INTENSITY/STRENGTH	0
8205	1	INTENSITY/STRENGTH	45
8294	1	INTENSITY/STRENGTH	0
8452	1	INTENSITY/STRENGTH	3
8467	1	INTENSITY/STRENGTH	78
8615	1	INTENSITY/STRENGTH	0
9024	1	INTENSITY/STRENGTH	0
10722	1	INTENSITY/STRENGTH	78
11124	1	INTENSITY/STRENGTH	66
11419	1	INTENSITY/STRENGTH	80
12206	1	INTENSITY/STRENGTH	82
12348	1	INTENSITY/STRENGTH	0
12748	1	INTENSITY/STRENGTH	25
13187	1	INTENSITY/STRENGTH	55
13204	1	INTENSITY/STRENGTH	1
13216	1	INTENSITY/STRENGTH	3
13436	1	INTENSITY/STRENGTH	80
14328	1	INTENSITY/STRENGTH	0
15606	1	INTENSITY/STRENGTH	76
22386	1	INTENSITY/STRENGTH	58
24020	1	INTENSITY/STRENGTH	65
24473	1	INTENSITY/STRENGTH	64
31210	1	INTENSITY/STRENGTH	75
31266	1	INTENSITY/STRENGTH	61
33032	1	INTENSITY/STRENGTH	13
61024	1	INTENSITY/STRENGTH	0
61151	1	INTENSITY/STRENGTH	2
61155	1	INTENSITY/STRENGTH	77
61177	1	INTENSITY/STRENGTH	77
61252	1	INTENSITY/STRENGTH	100
61771	1	INTENSITY/STRENGTH	55
62572	1	INTENSITY/STRENGTH	55
520108	1	INTENSITY/STRENGTH	100
638024	1	INTENSITY/STRENGTH	0
641256	1	INTENSITY/STRENGTH	3
778574	1	INTENSITY/STRENGTH	0
1549778	1	INTENSITY/STRENGTH	0
1550470	1	INTENSITY/STRENGTH	60
5352539	1	INTENSITY/STRENGTH	60
5355850	1	INTENSITY/STRENGTH	52
5363233	1	INTENSITY/STRENGTH	62
5367698	1	INTENSITY/STRENGTH	14
6114390	1	INTENSITY/STRENGTH	74
16220109	1	INTENSITY/STRENGTH	56
243	1	VALENCE/PLEASANTNESS	14
454	1	VALENCE/PLEASANTNESS	39
679	1	VALENCE/PLEASANTNESS	75
1030	1	VALENCE/PLEASANTNESS	48
1060	1	VALENCE/PLEASANTNESS	42
2682	1	VALENCE/PLEASANTNESS	15
6137	1	VALENCE/PLEASANTNESS	5
6386	1	VALENCE/PLEASANTNESS	66
6826	1	VALENCE/PLEASANTNESS	9
6989	1	VALENCE/PLEASANTNESS	37
7047	1	VALENCE/PLEASANTNESS	32
7409	1	VALENCE/PLEASANTNESS	0
7601	1	VALENCE/PLEASANTNESS	47
7632	1	VALENCE/PLEASANTNESS	66
7792	1	VALENCE/PLEASANTNESS	58
7820	1	VALENCE/PLEASANTNESS	17
7826	1	VALENCE/PLEASANTNESS	71
8038	1	VALENCE/PLEASANTNESS	45
8048	1	VALENCE/PLEASANTNESS	67
8051	1	VALENCE/PLEASANTNESS	42
8078	1	VALENCE/PLEASANTNESS	54
8137	1	VALENCE/PLEASANTNESS	36
8159	1	VALENCE/PLEASANTNESS	16
8163	1	VALENCE/PLEASANTNESS	1
8175	1	VALENCE/PLEASANTNESS	41
8180	1	VALENCE/PLEASANTNESS	22
8205	1	VALENCE/PLEASANTNESS	52
8294	1	VALENCE/PLEASANTNESS	51
8452	1	VALENCE/PLEASANTNESS	40
8467	1	VALENCE/PLEASANTNESS	80
8615	1	VALENCE/PLEASANTNESS	45
9024	1	VALENCE/PLEASANTNESS	63
10722	1	VALENCE/PLEASANTNESS	77
11124	1	VALENCE/PLEASANTNESS	35
11419	1	VALENCE/PLEASANTNESS	52
12206	1	VALENCE/PLEASANTNESS	17
12348	1	VALENCE/PLEASANTNESS	54
12748	1	VALENCE/PLEASANTNESS	18
13187	1	VALENCE/PLEASANTNESS	61
13204	1	VALENCE/PLEASANTNESS	52
13216	1	VALENCE/PLEASANTNESS	46
13436	1	VALENCE/PLEASANTNESS	9
14328	1	VALENCE/PLEASANTNESS	79
15606	1	VALENCE/PLEASANTNESS	75
22386	1	VALENCE/PLEASANTNESS	5
24020	1	VALENCE/PLEASANTNESS	64
24473	1	VALENCE/PLEASANTNESS	76
31210	1	VALENCE/PLEASANTNESS	68
31266	1	VALENCE/PLEASANTNESS	79
33032	1	VALENCE/PLEASANTNESS	55
61024	1	VALENCE/PLEASANTNESS	52
61151	1	VALENCE/PLEASANTNESS	80
61155	1	VALENCE/PLEASANTNESS	31
61177	1	VALENCE/PLEASANTNESS	22
61252	1	VALENCE/PLEASANTNESS	0
61771	1	VALENCE/PLEASANTNESS	63
62572	1	VALENCE/PLEASANTNESS	41
520108	1	VALENCE/PLEASANTNESS	0
638024	1	VALENCE/PLEASANTNESS	58
641256	1	VALENCE/PLEASANTNESS	55
778574	1	VALENCE/PLEASANTNESS	20
1549778	1	VALENCE/PLEASANTNESS	56
1550470	1	VALENCE/PLEASANTNESS	29
5352539	1	VALENCE/PLEASANTNESS	19
5355850	1	VALENCE/PLEASANTNESS	65
5363233	1	VALENCE/PLEASANTNESS	9
5367698	1	VALENCE/PLEASANTNESS	63
6114390	1	VALENCE/PLEASANTNESS	75
16220109	1	VALENCE/PLEASANTNESS	14
243	1	BAKERY	0
454	1	BAKERY	0
679	1	BAKERY	0
1030	1	BAKERY	0
1060	1	BAKERY	0
2682	1	BAKERY	0
6137	1	BAKERY	0
6386	1	BAKERY	0
6826	1	BAKERY	0
6989	1	BAKERY	0
7047	1	BAKERY	0
7409	1	BAKERY	0
7601	1	BAKERY	0
7632	1	BAKERY	0
7792	1	BAKERY	0
7820	1	BAKERY	0
7826	1	BAKERY	0
8038	1	BAKERY	0
8048	1	BAKERY	0
8051	1	BAKERY	0
8078	1	BAKERY	0
8137	1	BAKERY	0
8159	1	BAKERY	0
8163	1	BAKERY	0
8175	1	BAKERY	0
8180	1	BAKERY	0
8205	1	BAKERY	0
8294	1	BAKERY	0
8452	1	BAKERY	0
8467	1	BAKERY	90
8615	1	BAKERY	0
9024	1	BAKERY	0
10722	1	BAKERY	0
11124	1	BAKERY	0
11419	1	BAKERY	0
12206	1	BAKERY	0
