#oID	descriptor	value	sigma
243	INTENSITY/STRENGTH	16.6327	25.561
454	INTENSITY/STRENGTH	65.5102	27.7422
679	INTENSITY/STRENGTH	18.4286	28.3012
1030	INTENSITY/STRENGTH	3.898	9.7345
1060	INTENSITY/STRENGTH	67.898	26.3195
2682	INTENSITY/STRENGTH	21.9592	27.3275
6137	INTENSITY/STRENGTH	41.2653	36.433
6386	INTENSITY/STRENGTH	11.8571	24.2805
6826	INTENSITY/STRENGTH	39	31.4059
6989	INTENSITY/STRENGTH	70.8367	23.3322
7047	INTENSITY/STRENGTH	79.5306	21.3738
7409	INTENSITY/STRENGTH	41.4082	33.1392
7601	INTENSITY/STRENGTH	30.2041	33.9288
7632	INTENSITY/STRENGTH	30.449	29.9479
7792	INTENSITY/STRENGTH	74.0612	23.3572
7820	INTENSITY/STRENGTH	50.9184	30.7888
7826	INTENSITY/STRENGTH	43.2857	34.4855
8038	INTENSITY/STRENGTH	78	20.2258
8048	INTENSITY/STRENGTH	11.1837	20.9868
8051	INTENSITY/STRENGTH	69.2653	25.5757
8078	INTENSITY/STRENGTH	36.6735	36.7805
8137	INTENSITY/STRENGTH	69.0408	24.9432
8159	INTENSITY/STRENGTH	24.0816	31.0207
8163	INTENSITY/STRENGTH	22.1429	27.3945
8175	INTENSITY/STRENGTH	51.8367	31.1163
8180	INTENSITY/STRENGTH	53.0612	35.5899
8205	INTENSITY/STRENGTH	20.1224	28.9026
8294	INTENSITY/STRENGTH	19.2041	28.254
8452	INTENSITY/STRENGTH	44.5918	35.184
8467	INTENSITY/STRENGTH	73.5918	24.1367
8615	INTENSITY/STRENGTH	3.6939	10.6521
9024	INTENSITY/STRENGTH	21.2041	29.5966
10722	INTENSITY/STRENGTH	79.3469	19.4792
11124	INTENSITY/STRENGTH	28.0408	30.4384
11419	INTENSITY/STRENGTH	74.0816	25.9043
12206	INTENSITY/STRENGTH	60.2653	28.6333
12348	INTENSITY/STRENGTH	56.5102	35.8963
12748	INTENSITY/STRENGTH	51.2449	34.4774
13187	INTENSITY/STRENGTH	50.7755	28.9937
13204	INTENSITY/STRENGTH	39.9184	33.9109
13216	INTENSITY/STRENGTH	48.1837	32.3649
13436	INTENSITY/STRENGTH	55.6122	30.8429
14328	INTENSITY/STRENGTH	13.5102	25.6565
15606	INTENSITY/STRENGTH	50.3878	31.1226
22386	INTENSITY/STRENGTH	34.9388	36.5031
24020	INTENSITY/STRENGTH	75.6327	17.5377
24473	INTENSITY/STRENGTH	38.1633	30.8972
31210	INTENSITY/STRENGTH	52.7347	31.4952
31266	INTENSITY/STRENGTH	57.5918	28.5335
33032	INTENSITY/STRENGTH	10.4898	21.2555
61024	INTENSITY/STRENGTH	18.3265	25.3939
61151	INTENSITY/STRENGTH	34.6327	34.6312
61155	INTENSITY/STRENGTH	71.551	23.7233
61177	INTENSITY/STRENGTH	58.0408	30.8734
61252	INTENSITY/STRENGTH	85.8571	20.662
61771	INTENSITY/STRENGTH	54.1429	31.0758
62572	INTENSITY/STRENGTH	49.4286	35.8295
520108	INTENSITY/STRENGTH	75.6735	27.2912
638024	INTENSITY/STRENGTH	6.3469	17.8495
641256	INTENSITY/STRENGTH	35.8571	32.9874
778574	INTENSITY/STRENGTH	37.0408	36.7695
1549778	INTENSITY/STRENGTH	32.898	32.568
1550470	INTENSITY/STRENGTH	73.4898	20.3666
5352539	INTENSITY/STRENGTH	72.449	26.167
5355850	INTENSITY/STRENGTH	35.6939	33.0266
5363233	INTENSITY/STRENGTH	58.3265	31.2693
5367698	INTENSITY/STRENGTH	43.551	33.8096
6114390	INTENSITY/STRENGTH	78.898	18.0869
16220109	INTENSITY/STRENGTH	39.5306	32.6784
243	VALENCE/PLEASANTNESS	34.0769	22.4694
454	VALENCE/PLEASANTNESS	32.0833	22.4061
