Compound Identifier	Odor	Replicate	Intensity	Dilution	subject #	INTENSITY/STRENGTH	VALENCE/PLEASANTNESS	BAKERY	SWEET	FRUIT	FISH	GARLIC	SPICES	COLD	SOUR	BURNT	ACID	WARM	MUSKY	SWEATY	AMMONIA/URINOUS	DECAYED	WOOD	GRASS	FLOWER	CHEMICAL
243	N/A	0	high	 '1/100,000'	1	73	14	0	0	0	0	0	0	0	48	0	0	0	0	0	0	49	0	0	0	0
243	N/A	0	high	 '1/100,000'	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	4	2	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
243	N/A	0	high	 '1/100,000'	5	61	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	7	25	11	0	0	0	0	0	0	0	26	0	0	0	0	62	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	8	43	42	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	12	16	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
243	N/A	0	high	 '1/100,000'	13	91	6	0	0	0	44	30	0	0	100	71	0	57	78	74	0	0	0	0	0	67
243	N/A	0	high	 '1/100,000'	14	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	18	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	19	50	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
243	N/A	0	high	 '1/100,000'	20	13	46	0	8	0	0	0	0	7	3	0	0	0	13	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	21	63	0	0	0	0	0	0	0	0	0	3	0	0	25	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	22	11	25	71	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0
243	N/A	0	high	 '1/100,000'	23	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
243	N/A	0	high	 '1/100,000'	24	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
