Compound Identifier	Odor	Replicate	Intensity	Dilution	subject #	INTENSITY/STRENGTH	VALENCE/PLEASANTNESS	BAKERY	SWEET	FRUIT	FISH	GARLIC	SPICES	COLD	SOUR	BURNT	ACID	WARM	MUSKY	SWEATY	AMMONIA/URINOUS	DECAYED	WOOD	GRASS	FLOWER	CHEMICAL
180	N/A	0	high	 '1/10'	1	0	54	60	55	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	2	85	69	48	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	3	56	91	0	0	0	0	0	58	0	0	0	0	61	0	0	0	0	0	0	33	23
180	N/A	0	high	 '1/10'	4	74	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
180	N/A	0	high	 '1/10'	5	0	90	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	6	0	13	0	0	0	0	0	0	0	76	78	0	0	76	0	78	77	0	0	0	74
180	N/A	0	high	 '1/10'	7	28	7	0	0	0	32	0	0	0	42	0	0	55	52	0	0	36	0	0	0	0
180	N/A	0	high	 '1/10'	8	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	9	0	58	0	20	0	0	0	15	24	0	0	51	0	0	0	0	0	0	0	0	32
180	N/A	0	high	 '1/10'	10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
180	N/A	0	high	 '1/10'	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	12	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
180	N/A	0	high	 '1/10'	13	0	100	0	87	39	0	0	0	94	26	0	0	0	0	0	48	66	44	53	77	0
180	N/A	0	high	 '1/10'	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	15	0	22	0	16	0	9	9	0	0	3	14	11	0	0	0	0	6	0	0	0	23
180	N/A	0	high	 '1/10'	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	17	49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	18	0	28	0	39	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	19	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	20	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	21	0	88	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
180	N/A	0	high	 '1/10'	22	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	23	11	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	24	17	43	0	0	0	0	0	0	0	0	0	0	0	23	0	0	8	0	0	0	0
180	N/A	0	high	 '1/10'	25	0	39	0	0	0	32	74	9	0	47	0	41	0	0	0	38	0	43	0	0	51
180	N/A	0	high	 '1/10'	26	35	50	0	5	0	0	0	0	0	0	0	0	23	0	0	5	0	23	0	0	11
180	N/A	0	high	 '1/10'	27	22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	28	0	63	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	29	83	19	0
180	N/A	0	high	 '1/10'	29	7	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	30	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	32	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	33	0	61	0	69	39	0	0	0	12	0	0	0	70	0	0	0	0	86	23	63	0
180	N/A	0	high	 '1/10'	34	42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	35	71	46	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	51	0	0	0
180	N/A	0	high	 '1/10'	36	76	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
180	N/A	0	high	 '1/10'	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	38	0	56	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	39	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	40	73	79	0	0	0	0	0	0	0	52	0	0	44	0	0	0	0	0	0	61	35
180	N/A	0	high	 '1/10'	41	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	42	0	59	0	19	40	0	0	0	23	0	0	0	25	0	0	0	6	0	0	0	38
180	N/A	0	high	 '1/10'	43	76	65	0	20	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	32	0
180	N/A	0	high	 '1/10'	44	12	42	0	17	33	0	0	0	0	33	0	0	0	0	0	0	0	0	0	18	0
180	N/A	0	high	 '1/10'	45	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	46	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180	N/A	0	high	 '1/10'	47	3	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	N/A	0	high	 '1/10'	48	2	18	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	19
180	N/A	0	high	 '1/10'	49	19	54	0	0	0	0	0	0	0	2	1	0	1	4	1	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	1	54	47	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	2	81	71	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	4	91	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
262	N/A	0	high	'1/1,000'	5	52	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	6	0	29	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	7	92	22	0	31	0	0	0	0	0	47	0	0	0	39	25	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	8	46	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
262	N/A	0	high	'1/1,000'	9	67	28	0	0	0	100	0	0	0	100	0	0	0	0	0	0	74	0	0	0	0
262	N/A	0	high	'1/1,000'	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	12	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	13	19	74	50	0	0	0	23	20	0	0	42	0	93	49	0	0	75	0	0	0	0
262	N/A	0	high	'1/1,000'	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	16	68	57	0	13	0	0	0	22	0	0	0	14	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	17	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	18	18	20	0	0	0	0	0	0	0	66	0	0	0	60	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	19	59	62	87	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	20	91	58	17	0	0	0	0	0	18	17	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	21	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	22	87	98	61	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	23	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
262	N/A	0	high	'1/1,000'	24	75	86	35	39	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	25	72	34	27	0	0	0	93	0	0	0	0	0	12	63	0	0	0	0	0	0	45
262	N/A	0	high	'1/1,000'	26	87	77	70	46	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0
262	N/A	0	high	'1/1,000'	27	59	70	34	80	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
