Compound Identifier	Odor	Replicate	Intensity	Dilution	subject #	INTENSITY/STRENGTH	VALENCE/PLEASANTNESS	BAKERY	SWEET	FRUIT	FISH	GARLIC	SPICES	COLD	SOUR	BURNT	ACID	WARM	MUSKY	SWEATY	AMMONIA/URINOUS	DECAYED	WOOD	GRASS	FLOWER	CHEMICAL
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	1	7	62	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
126	4-Hydroxybenzaldehyde 		high 	"1/10"	1	37	60	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	2	55	89	0	33	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5
126	4-Hydroxybenzaldehyde 		high 	"1/10"	2	64	71	0	9	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	3	89	68	0	62	0	0	0	35	0	0	0	0	62	0	0	0	0	0	0	0	0
126	4-Hydroxybenzaldehyde 		high 	"1/10"	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	4	29	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
126	4-Hydroxybenzaldehyde 		high 	"1/10"	4	100	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
126	4-Hydroxybenzaldehyde 		high 	"1/10"	5	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	4-Hydroxybenzaldehyde 		low 	"1/1,000 "	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
