oID	dilution
243	" '1/100,000'"
454	" '1/100,000'"
679	 '1/10'
1030	 '1/10'
1060	" '1/100,000'"
2682	 '1/10'
6137	 '1/10'
6386	 '1/10'
6826	" '1/100,000'"
6989	" '1/100,000'"
7047	" '1/100,000'"
7409	" '1/100,000'"
7601	" '1/100,000'"
7632	" '1/100,000'"
7792	" '1/100,000'"
7820	 '1/10'
7826	" '1/100,000'"
8038	" '1/100,000'"
8048	 '1/10'
8051	" '1/100,000'"
8078	 '1/10'
8137	" '1/100,000'"
8159	 '1/10'
8163	 '1/10'
8175	 '1/10'
8180	 '1/10'
8205	" '1/100,000'"
8294	" '1/100,000'"
8452	 '1/10'
8467	 '1/10'
8615	 '1/10'
9024	 '1/10'
10722	" '1/100,000'"
11124	" '1/100,000'"
11419	" '1/100,000'"
12206	" '1/100,000'"
12348	" '1/100,000'"
12748	" '1/100,000'"
13187	" '1/100,000'"
13204	" '1/100,000'"
13216	" '1/100,000'"
13436	" '1/100,000'"
14328	 '1/10'
15606	" '1/100,000'"
22386	" '1/100,000'"
24020	" '1/100,000'"
24473	 '1/10'
31210	" '1/100,000'"
31266	" '1/100,000'"
33032	 '1/10'
61024	" '1/100,000'"
61151	" '1/100,000'"
61155	" '1/100,000'"
61177	" '1/100,000'"
61252	" '1/100,000'"
61771	 '1/10'
62572	" '1/100,000'"
520108	" '1/100,000'"
638024	 '1/10'
641256	" '1/100,000'"
778574	 '1/10'
1549778	" '1/100,000'"
1550470	" '1/100,000'"
5352539	" '1/100,000'"
5355850	" '1/100,000'"
5363233	" '1/100,000'"
5367698	" '1/100,000'"
6114390	" '1/100,000'"
16220109	 '1/10'
