oID	dilution
180	 '1/10'
262	" '1/100,000'"
264	" '1/100,000'"
323	 '1/10'
702	" '1/100,000'"
750	 '1/10'
753	 '1/10'
962	 '1/10'
1031	" '1/100,000'"
3102	 '1/10'
3314	" '1/100,000'"
5862	 '1/10'
5962	 '1/10'
6274	 '1/10'
6322	 '1/10'
6506	 '1/10'
6544	" '1/100,000'"
6561	" '1/100,000'"
6669	 '1/10'
7092	 '1/10'
7137	 '1/10'
7302	" '1/100,000'"
7476	 '1/10'
7559	" '1/100,000'"
7657	 '1/10'
7770	" '1/100,000'"
7793	" '1/100,000'"
7797	" '1/100,000'"
8025	 '1/10'
8049	 '1/10'
8094	" '1/100,000'"
8419	 '1/10'
8438	 '1/10'
8468	 '1/10'
8815	" '1/100,000'"
8878	" '1/100,000'"
9012	 '1/10'
10886	 '1/10'
11567	" '1/100,000'"
12020	" '1/100,000'"
12265	" '1/100,000'"
12377	" '1/100,000'"
15654	" '1/100,000'"
16537	" '1/100,000'"
17898	" '1/100,000'"
18467	" '1/100,000'"
21363	" '1/100,000'"
27440	" '1/100,000'"
31219	" '1/100,000'"
31276	" '1/100,000'"
31283	 '1/10'
60998	" '1/100,000'"
61523	" '1/100,000'"
62089	 '1/10'
62351	" '1/100,000'"
62465	" '1/100,000'"
251531	" '1/100,000'"
440917	" '1/100,000'"
637758	" '1/100,000'"
853433	" '1/100,000'"
1549025	 '1/10'
2733294	" '1/100,000'"
5281167	" '1/100,000'"
5281168	" '1/100,000'"
5318599	" '1/100,000'"
5352837	" '1/100,000'"
5364231	" '1/100,000'"
5371102	" '1/100,000'"
10857465	 '1/10'
