number of features,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
1,0.056029508809,0.0444001204196,0.0858538616484,0.0431532390107,0.0294946478224,0.042418410115,0.0593375644693,0.0269060313585,0.0422499501147,0.0358624665023,0.0269147298497,0.0424896521736,0.0159960803254,0.0359574285181,0.0349589032607,0.0272420040247,0.0620686037784,0.0388797234043,0.048771543055,0.0244510579598,0.0338056111517
2,0.045671924973,0.0353070659433,0.0848646231246,0.0320534443967,0.044747202838,0.0389803007864,0.0569308280962,0.0396448790398,0.0416940629787,0.0511573677476,0.0299491801495,0.0496788431945,0.0264527142675,0.0212849992684,0.0389954274357,0.0380777756657,0.0440715191566,0.0505293985255,0.0617136214287,0.0211798275653,0.0283008771766
3,0.0404968189843,0.0258772681938,0.0830980319893,0.0296414718663,0.0491886762426,0.0318759110371,0.0645444934879,0.0406356409185,0.0467651657438,0.0472702384515,0.0447010201475,0.0398603884465,0.0291715192579,0.0215798842945,0.0363044621943,0.0308270213806,0.0307493020129,0.0471587594097,0.0802584531525,0.0291540903367,0.0253409319088
4,0.0391805387909,0.0244716135508,0.081555268653,0.0383734818146,0.0518812598863,0.0293271925351,0.0639195625161,0.0378162019042,0.0432630673189,0.0416628141395,0.0338733699679,0.0376324271443,0.0307748292058,0.0259817588327,0.0335210457995,0.0271621077157,0.0315124688404,0.0451601538191,0.0752075053995,0.0273789650242,0.0225705138712
5,0.0398824991942,0.014386434309,0.0784981091528,0.041816163864,0.0482850370177,0.0316507786046,0.0638033402238,0.0369905259906,0.0443270304079,0.0454313535249,0.0411877289784,0.0436084288429,0.0308353422312,0.0288446792885,0.0305424299064,0.0235301734289,0.0420085917275,0.0468640512215,0.0780608347912,0.0189396080005,0.024639404799
10,0.0341805803756,0.015659106369,0.0745759394024,0.0314075704951,0.0423434869284,0.0339798218138,0.0426711038592,0.0376819567582,0.0380576465085,0.037417091009,0.0396283484527,0.0381335172785,0.0335087425843,0.0236418283348,0.0241066059996,0.0245701057153,0.0340545095004,0.0496604026867,0.0778055924169,0.0240117888687,0.0287344252368
33,0.0326569985624,0.0139606509235,0.0683121295154,0.0269620707242,0.0298158488719,0.0324281372337,0.0421161523389,0.0325500086829,0.0377300371967,0.0341360113186,0.0403899958342,0.040406785387,0.0332838678045,0.0243502579209,0.0191649033704,0.0242964268788,0.0292697116692,0.0488355983542,0.0654354273169,0.0363943899571,0.0249678852367
100,0.0312008497041,0.014338631223,0.0597851087637,0.0218229544835,0.0258416747941,0.0381387490816,0.0394491832642,0.0421836975577,0.0388444317036,0.0266820106909,0.0393120148313,0.0332265876933,0.0343651637353,0.0229892989109,0.0209760664322,0.0238311805772,0.0241358380323,0.0479470336303,0.0667491542676,0.0362829261401,0.0190633646602
333,0.0343829044915,0.0155212551519,0.0530293700381,0.0245841364011,0.0218891859663,0.0417617079799,0.0422285801973,0.0443889211582,0.0402835431041,0.0291536271802,0.0350204768195,0.0317945538071,0.037412900355,0.0305224108715,0.0235163848865,0.0271806928218,0.0192715945934,0.0490035703187,0.0674549163489,0.0315561622363,0.0181221722959
1000,0.0305927462027,0.0225943937881,0.0517561327621,0.0281550808434,0.0220452217319,0.0436786935955,0.0424467680166,0.0447602321059,0.0382881747195,0.0293247500894,0.0350510755076,0.0285197638928,0.0326356135079,0.0280972793391,0.0213040563343,0.0263482642951,0.0187961988237,0.0478906516447,0.0715745806474,0.0283687035069,0.0185259352473
3333,0.0284916500493,0.0276161757193,0.0365215356363,0.0323560527516,0.0245726575993,0.0517181028537,0.0384346482005,0.0411121179943,0.0304198418618,0.0315992483759,0.0241226289751,0.0196790781651,0.0232697845384,0.0329392426407,0.0241678750179,0.0312639374282,0.0225659056265,0.0377050181326,0.0716404930159,0.0236267343874,0.0212836784772
10000,0.0277294506664,0.0292355926484,0.033838842621,0.0370735062177,0.0246894482116,0.0483568994523,0.0381081752786,0.0405478593158,0.0315747062265,0.0286869768864,0.0255949964383,0.0197917682257,0.0245949931929,0.0334974598581,0.0256102692454,0.034323538587,0.0283628081262,0.0475704595985,0.0759099178644,0.0172771555089,0.0206285754491
