CID,SMILES,Estimated Log Kow ,Measured Log Kow  ,Estimated BP (oC),Estimated MP (oC),Estimated VP (mm Hg),Estimated VP (Pa),Estimated Water Sol. (mg/L),HLC (atm-m3/mole); Group Method (Based on Estimated Data),HLC (atm-m3/mole); Bond Method (Based on Estimated Data),Estimated Koc,Estimated Log Koc,BIOWIN1 (Linear Model) Probability ,BIOWIN2 (Non-Linear Model) Probability ,Estimated Atmospheric Oxidation (half-life-days),Indirect Photolysis (Half-Life-days); Measured,Estimated Ozone Reaction (half-life-days),Measured Ozone Reaction (half-life-days),Estimated Hydrolysis (half-life-days),Estimated BCF,Estimated Log BCF,Estimated Volatilization from Model River (half-life-hours),Estimated Volatilization from Model Lake (half-life-hours),STP Biodegradation (%),STP Sludge Adsorption (%),STP Volatilization (%),STP Total Removal (%),AWS_Air,AWS_Water,AWS_Soil,AWS_Sediments,Paws Score-Air,Paws-Score-Water,Paws-Score-Soil,Paws-Score-Sediments,Paws Score (Total),PEQC/aws (half-life-days),PEQC/aws Score,B Score (BCF),B Score (Log Kow),EXPaws Score (BCF),EXPaws Score (Log Kow),EXPEQC/aws Score (BCF),EXPEQC/aws Score (Log Kow),BIOWIN5 (Linear MITI Model) Probability,BIOWIN6 (Non-Linear MITI Model) Probability,BIOWIN3 numerical output ,BIOWIN4 numerical output,Ready biodegradability prediction,STP Total Removal (%) - default,STP Biodegradation (%) - default,STP Adsorption (%) - default,STP Volatilization (%) - default,Subcooled Liquid VP,WATERNT frag Water Sol estimate,KOAWIN LogKoa estimate,KOAWIN LogKoa measured,KOAWIN Log Kaw,AEROWIN Mackay Kp,AEROWIN Octanol/air Kp,AEROWIN Junge-Pankow phi,AEROWIN Mackay phi,AEROWIN Octanol/air phi
126,OC1=CC=C(C=O)C=C1 ,1.23,1.35,239.42,42.64,4.51e-05,0.006013,26400.0,3.46e-09,1.4e-09,14.24,1.154,1.0898,0.9999,0.3821,,0.0,,,3.612,0.558,1270000.0,13800000.0,0.09,1.84,0.0,1.94,0.0106,28.7,71.2,0.0697,12,28700,71200,70,99982,27.2,493939,2167,13432,217,1343,1070,6635,0.8573,0.9378,3.008,3.9079,YES ,1.94,0.09,1.84,0.0,0.000918,18815.0,9.03,,-7.68,2.45e-05,0.000263,0.000885,0.00196,0.0206
176,C(C)(=O)O ,0.09,-0.17,122.3,-21.26,17.2,2293.0,476000.0,2.94e-07,5.48e-07,1.0,0.0,0.7916,0.9426,17.2,14.45,0.0,,,3.162,0.5,4538.0,49600.0,0.09,1.76,0.01,1.85,2.66,35.0,62.3,0.0619,26600,22750,40495,40,89885,14.5,263636,1897,406,171,36,500,107,0.7151,0.875,3.4311,4.1467,YES ,1.85,0.09,1.76,0.01,15.7,771000.0,5.218,4.31,-5.388,1.43e-09,5.01e-09,5.18e-08,1.15e-07,4.01e-07
177,C(C)=O ,-0.17,-0.34,33.83,-106.38,910.0,121000.0,257000.0,6e-05,6.78e-05,1.0,0.0,1.0112,0.9999,0.6299,0.677,0.0,1910.0,,3.162,0.5,6.503,126.6,0.09,1.7,3.41,5.2,3.82,48.5,47.6,0.0907,7756,48500,47600,91,103946,10.7,194697,1897,274,197,29,369,53,0.9929,0.9823,3.1241,3.9808,YES ,5.2,0.09,1.7,3.41,902.0,477000.0,2.224,,-2.564,2.49e-11,4.11e-11,9.01e-10,2e-09,3.29e-09
180,CC(=O)C ,-0.24,-0.24,44.8,-93.58,249.0,33200.0,220000.0,3.97e-05,4.96e-05,2.364,0.374,0.7267,0.8495,52.43,48.84,0.0,,,3.162,0.5,13.53,211.5,0.09,1.73,1.87,3.69,12.3,42.1,45.5,0.0813,123000,42100,45500,81,210681,14.0,254545,1897,345,400,73,483,88,0.6579,0.8483,3.0483,3.7417,YES ,3.69,0.09,1.73,1.87,232.0,268000.0,2.604,2.31,-2.844,9.7e-11,5.01e-11,3.5e-09,7.76e-09,4.01e-09
196,C(CCCCC(=O)O)(=O)O ,0.23,0.08,310.29,101.99,1.28e-05,0.001707,167000.0,8.1e-13,9.53e-12,24.34,1.386,0.8234,0.902,1.914,,0.0,,,3.162,0.5,150000000.0,1640000000.0,0.09,1.76,0.0,1.85,0.000151,24.6,75.4,0.0644,1,15990,49010,42,65043,18.0,326515,1897,721,123,47,619,236,0.8374,0.9084,3.6054,4.408,YES ,1.85,0.09,1.76,0.0,5.89e-06,42286.0,9.795,,-9.715,0.00382,0.00153,0.121,0.234,0.109
239,NCCC(=O)O ,-4.09,-3.05,387.28,256.32,2.41e-07,3.21e-05,429000.0,8.48e-12,7.48e-11,1.608,0.206,0.9317,0.9706,0.3235,,0.0,,,3.162,0.5,65200000.0,711000000.0,0.09,1.75,0.0,1.85,0.0003,32.9,67.0,0.059,0,21385,43550,38,64974,16.4,297727,1897,1,123,0,565,0,0.7604,0.8406,3.3913,4.148,YES ,1.85,0.09,1.75,0.0,1.69e-05,1000000.0,5.465,,-8.515,0.00133,7.16e-08,0.0459,0.0963,5.73e-06
240,C(C1=CC=CC=C1)=O ,1.71,1.48,181.22,-21.97,1.01,134.7,6100.0,2.81e-05,1.34e-05,11.09,1.045,1.1097,1.0,0.5986,0.8291,0.0,,,4.401,0.644,23.64,344.3,0.09,1.85,1.45,3.39,2.72,39.2,58.0,0.09,6763,39200,58000,90,104053,14.3,259091,2641,18120,275,1885,684,4695,0.8489,0.943,3.009,3.8962,YES ,3.39,0.09,1.85,1.45,1.27,5128.6,4.442,,-2.962,1.77e-08,6.79e-09,6.4e-07,1.42e-06,5.43e-07
241,C1=CC=CC=C1 ,1.99,2.13,102.24,-77.92,87.2,11600.0,2000.0,0.00535,0.00539,145.8,2.164,1.0296,0.9999,5.486,8.696,0.0,164000.0,,11.81,1.072,0.9951,84.96,0.04,1.11,67.78,68.94,31.8,41.1,26.7,0.37,318000,143850,93450,1295,556595,8.2,149242,7086,80938,3944,45050,1058,12079,0.5291,0.7294,2.4406,3.3922,NO ,68.94,0.04,1.11,67.78,94.8,1339.0,2.774,2.78,-0.644,2.37e-10,1.48e-10,8.57e-09,1.9e-08,1.18e-08
243,C(C1=CC=CC=C1)(=O)O ,1.87,1.87,249.51,48.85,0.00298,0.3973,2493.0,4.56e-08,1.08e-07,16.55,1.219,0.9944,0.9959,8.612,,0.0,,,3.162,0.5,17000.0,185000.0,0.09,2.05,0.0,2.14,0.694,28.6,70.6,0.0723,6940,28600,70600,72,106212,25.9,470455,1897,44479,202,4724,893,20925,0.7669,0.8855,3.0392,3.6842,YES ,2.14,0.09,2.05,0.0,0.00643,1491.2,7.678,,-5.808,3.5e-06,1.17e-05,0.000126,0.00028,0.000935
244,C(C1=CC=CC=C1)O ,1.08,1.1,205.65,-5.43,0.0535,7.133,41100.0,4.66e-08,2.17e-07,21.46,1.332,0.9829,0.9878,1.296,0.4671,0.0,,,1.371,0.137,1808.0,19800.0,0.09,1.8,0.02,1.92,1.03,34.0,64.8,0.0929,1443,34000,64800,93,100336,17.7,321212,823,7554,83,758,264,2426,0.537,0.7077,3.1422,3.8261,YES ,1.92,0.09,1.8,0.02,0.094,32322.0,5.961,,-4.861,2.39e-07,2.24e-07,8.65e-06,1.91e-05,1.8e-05
261,C(CCC)=O ,0.82,0.88,84.82,-80.23,108.0,14400.0,23900.0,0.00012,0.00012,1.793,0.254,0.9978,0.9999,0.4206,0.4551,0.0,,,3.162,0.5,5.19,127.8,0.09,1.7,5.52,7.31,3.52,49.6,46.8,0.0945,4806,49600,46800,95,101300,9.3,168939,1897,4551,192,461,321,769,1.0083,0.9831,3.0621,3.9403,YES ,7.31,0.09,1.7,5.52,111.0,65793.0,3.208,3.39,-2.328,2.03e-10,6.03e-10,7.32e-09,1.62e-08,4.82e-08
262,CC(C(C)O)O ,-0.36,-0.92,156.76,-34.4,0.172,22.93,759000.0,3.08e-10,2.3e-07,1.0,0.0,1.0221,0.9814,0.6176,,0.0,,,3.162,0.5,19300.0,211000.0,0.09,1.75,0.0,1.85,0.72,36.0,63.2,0.0637,1334,23400,41080,41,65855,13.8,250758,1897,72,125,5,476,18,0.6658,0.8546,3.32,3.9766,YES ,1.85,0.09,1.75,0.0,0.55,1000000.0,5.009,,-5.929,4.09e-08,2.51e-08,1.48e-06,3.27e-06,2e-06
263,C(CCC)O ,0.84,0.88,113.91,-62.33,7.78,1037.0,76700.0,9.74e-06,9.99e-06,3.471,0.54,0.9794,0.9927,1.552,1.248,0.0,,,3.162,0.5,58.09,705.9,0.09,1.78,0.49,2.36,4.56,40.1,55.2,0.0747,17073,26065,35880,49,79066,10.0,181818,1897,4551,150,360,345,828,0.8014,0.9369,3.4937,4.1393,YES ,2.36,0.09,1.78,0.49,6.7,61389.0,4.323,4.19,-3.443,3.36e-09,3.8e-09,1.21e-07,2.69e-07,3.04e-07
264,C(CCC)(=O)O ,1.07,0.79,166.84,3.02,2.11,281.3,66100.0,5.87e-07,9.65e-07,2.624,0.419,0.7783,0.9169,3.965,4.457,0.0,,,3.162,0.5,1028.0,11300.0,0.09,1.78,0.03,1.9,5.66,37.2,57.1,0.068,56600,24180,37115,44,117939,11.9,216667,1897,3700,224,436,411,802,0.7304,0.8803,3.3691,4.1062,YES ,1.9,0.09,1.78,0.03,1.65,95433.0,5.45,,-4.66,1.36e-08,6.92e-08,4.93e-07,1.09e-06,5.53e-06
311,C(CC(O)(C(=O)O)CC(=O)O)(=O)O ,-1.67,-1.64,407.16,169.23,5.64e-09,7.52e-07,1000000.0,,8.33e-18,10.0,1.0,0.6902,0.6193,1.523,,0.0,,,3.162,0.5,18700000000.0,205000000000.0,0.09,1.75,0.0,1.85,9.95e-06,28.1,71.8,0.0592,0,18265,46670,38,64974,17.3,313636,1897,14,123,1,595,4,0.8505,0.8377,3.6563,4.5738,YES ,1.85,0.09,1.75,0.0,3.06e-07,1000000.0,10.112,,-11.752,0.0735,0.00318,0.726,0.855,0.203
323,O2C1=CC=CC=C1C=CC2=O ,1.51,1.39,290.74,33.34,0.000657,0.08759,5126.0,,6.95e-06,125.1,2.097,0.8521,0.9934,0.8121,,0.5457,,,3.838,0.584,7136.0,78000.0,0.09,1.85,0.01,1.95,0.53,24.8,74.5,0.169,1291,24800,74500,169,100760,21.2,385606,2303,14728,232,1484,888,5679,0.6663,0.7842,3.0164,3.8658,YES ,1.95,0.09,1.85,0.01,0.00279,687.37,6.782,,-5.392,8.06e-06,1.49e-06,0.000291,0.000645,0.000119
325,C(C)(C)C1=CC=C(CO)C=C1 ,2.53,,250.16,23.23,0.00316,0.4213,1687.0,1.07e-07,4.23e-07,102.7,2.012,0.8894,0.9289,0.929,,0.0,,,12.07,1.082,6708.0,73300.0,0.1,3.08,0.01,3.19,0.924,23.7,75.3,0.141,2575,23700,75300,141,101716,23.2,421970,7242,203306,737,20680,3056,85789,0.3946,0.4627,2.9523,3.6919,NO ,3.19,0.1,3.08,0.01,0.00337,1892.7,7.292,,-4.762,6.68e-06,4.81e-06,0.000241,0.000534,0.000385
326,O=CC1=CC=C(C(C)C)C=C1 ,3.17,,228.34,7.45,0.0587,7.826,152.8,6.43e-05,2.61e-05,53.07,1.725,1.0163,0.9998,0.5173,,0.0,,,57.02,1.756,12.33,236.6,0.13,7.16,3.09,10.39,1.8,29.6,68.5,0.119,2793,29600,68500,119,101012,15.4,279545,34212,634000,3456,64042,9564,177232,0.7066,0.8548,2.8191,3.762,YES ,10.39,0.13,7.16,3.09,0.0558,301.92,6.142,,-2.972,4.03e-07,3.4e-07,1.46e-05,3.23e-05,2.72e-05
