#oID	descriptor	value	sigma
520191	INTENSITY/STRENGTH	76.9549467637	0.709372337986
1110	INTENSITY/STRENGTH	28.1927439864	0.809777434063
12178	INTENSITY/STRENGTH	58.4812803956	0.971227153141
8078	INTENSITY/STRENGTH	46.1338279787	0.994021085561
7820	INTENSITY/STRENGTH	52.6181435667	0.997258129706
521238	INTENSITY/STRENGTH	43.7805126245	0.984527190714
7122	INTENSITY/STRENGTH	53.3585256199	0.995488122264
9589	INTENSITY/STRENGTH	68.5667322915	0.862110580807
24020	INTENSITY/STRENGTH	61.8466599012	0.943862659675
33032	INTENSITY/STRENGTH	14.3628277555	0.491996781767
8914	INTENSITY/STRENGTH	55.6851078337	0.987071819568
8082	INTENSITY/STRENGTH	44.6620803014	0.988602645317
6943	INTENSITY/STRENGTH	68.8158026049	0.858386228934
660	INTENSITY/STRENGTH	64.0118600517	0.921467111156
170833	INTENSITY/STRENGTH	50.4186592611	0.999929889769
11428	INTENSITY/STRENGTH	32.2631993771	0.874162361465
15037	INTENSITY/STRENGTH	53.4082456882	0.995353544531
11529	INTENSITY/STRENGTH	60.2976497538	0.957583363819
14328	INTENSITY/STRENGTH	38.151845662	0.943848495513
7409	INTENSITY/STRENGTH	57.4172172629	0.97799395523
6213	INTENSITY/STRENGTH	23.2177549543	0.713084540125
7059	INTENSITY/STRENGTH	63.5993504651	0.926023066771
261	INTENSITY/STRENGTH	42.5865537574	0.978016325923
17617	INTENSITY/STRENGTH	36.7247964806	0.929507588607
7335	INTENSITY/STRENGTH	39.7113879421	0.957657784769
8697	INTENSITY/STRENGTH	56.4048067463	0.983591380217
7654	INTENSITY/STRENGTH	43.9646030329	0.98542959338
957	INTENSITY/STRENGTH	59.890340879	0.960872462919
7136	INTENSITY/STRENGTH	40.1493515182	0.961185889795
31249	INTENSITY/STRENGTH	42.6294681964	0.978270104373
1183	INTENSITY/STRENGTH	67.1118642625	0.882873640585
7915	INTENSITY/STRENGTH	33.6306286846	0.892817473096
31244	INTENSITY/STRENGTH	64.8788639963	0.911447762472
8125	INTENSITY/STRENGTH	59.2189750009	0.966004199973
31265	INTENSITY/STRENGTH	60.6655539643	0.954498383453
21057	INTENSITY/STRENGTH	60.4607952672	0.956228704951
807	INTENSITY/STRENGTH	66.1836734694	0.895235485214
1068	INTENSITY/STRENGTH	26.4157767865	0.777513766167
356	INTENSITY/STRENGTH	40.981249562	0.967464856215
875	INTENSITY/STRENGTH	26.1136848293	0.771777579026
14257	INTENSITY/STRENGTH	30.3131573379	0.844971290399
13204	INTENSITY/STRENGTH	48.2174256859	0.998728971526
16324	INTENSITY/STRENGTH	68.61935316	0.861327875161
6106	INTENSITY/STRENGTH	27.7396972778	0.801791569086
61918	INTENSITY/STRENGTH	78.5461489962	0.674046950994
8122	INTENSITY/STRENGTH	19.6551817492	0.63167680213
4133	INTENSITY/STRENGTH	61.4005118399	0.948011331915
14514	INTENSITY/STRENGTH	70.0864691945	0.838613502119
98330	INTENSITY/STRENGTH	57.9518919789	0.974706965582
11583	INTENSITY/STRENGTH	65.4574346425	0.90442708571
22310	INTENSITY/STRENGTH	36.1228054288	0.922969388333
1551246	INTENSITY/STRENGTH	64.0351496986	0.921205829175
6050	INTENSITY/STRENGTH	25.9795540896	0.769207271305
31272	INTENSITY/STRENGTH	57.4128486042	0.978019870228
61052	INTENSITY/STRENGTH	39.5686311158	0.956474617281
439570	INTENSITY/STRENGTH	62.0052474507	0.942349613459
8091	INTENSITY/STRENGTH	52.8008185182	0.996862166251
61325	INTENSITY/STRENGTH	67.3915205647	0.879014004979
220674	INTENSITY/STRENGTH	31.6821693383	0.86578283194
15606	INTENSITY/STRENGTH	39.4846306023	0.955770802572
7792	INTENSITY/STRENGTH	55.8784162788	0.986177688821
