#oID	descriptor	value	sigma
8658	INTENSITY/STRENGTH	47.7346938776	0.997947355269
7720	INTENSITY/STRENGTH	54.2979591837	0.992611018742
325	INTENSITY/STRENGTH	72.5693877551	0.796249094544
521238	INTENSITY/STRENGTH	14.8469387755	0.505704914618
8051	INTENSITY/STRENGTH	55.5469387755	0.987692588088
62444	INTENSITY/STRENGTH	31.3408163265	0.860733945855
101604	INTENSITY/STRENGTH	39.8346938776	0.958666620575
778574	INTENSITY/STRENGTH	32.3469387755	0.875347771762
7820	INTENSITY/STRENGTH	61.6653061225	0.945568253228
31265	INTENSITY/STRENGTH	50.6163265306	0.999848056643
8615	INTENSITY/STRENGTH	56.2693877551	0.98427791087
1551246	INTENSITY/STRENGTH	40.9653061225	0.967349722616
6584	INTENSITY/STRENGTH	12.4224489796	0.435171063724
5960	INTENSITY/STRENGTH	54.9734693878	0.9901058409
61918	INTENSITY/STRENGTH	68.7387755102	0.859543316952
8797	INTENSITY/STRENGTH	65.0306122449	0.909632278217
31260	INTENSITY/STRENGTH	34.4326530612	0.903063083715
18554	INTENSITY/STRENGTH	35.3244897959	0.9138517601
12748	INTENSITY/STRENGTH	67.3346938775	0.879803355269
11525	INTENSITY/STRENGTH	21.1285714286	0.666576244898
440967	INTENSITY/STRENGTH	45.4265306123	0.991633351104
31234	INTENSITY/STRENGTH	56.9142857143	0.980877061224
7409	INTENSITY/STRENGTH	81.7183673469	0.597578069138
6106	INTENSITY/STRENGTH	38.1408163265	0.94374390504
8918	INTENSITY/STRENGTH	10.5448979592	0.377317969179
10748	INTENSITY/STRENGTH	52.3081632653	0.997868952936
7122	INTENSITY/STRENGTH	42.4469387755	0.977180506456
24197	INTENSITY/STRENGTH	15.2479591837	0.51691826364
11980	INTENSITY/STRENGTH	61.1795918367	0.950006690546
11086	INTENSITY/STRENGTH	75.1469387755	0.747052588089
7937	INTENSITY/STRENGTH	60.781632653	0.953502558934
7792	INTENSITY/STRENGTH	32.6673469388	0.879831655144
13436	INTENSITY/STRENGTH	70.9714285714	0.824079673469
326	INTENSITY/STRENGTH	81.5040816326	0.602997136194
62332	INTENSITY/STRENGTH	59.0489795918	0.967246387339
13561	INTENSITY/STRENGTH	29.4755102041	0.831498127447
7361	INTENSITY/STRENGTH	46.5183673469	0.995151293628
93375	INTENSITY/STRENGTH	55.6265306122	0.987336861308
7147	INTENSITY/STRENGTH	57.9612244898	0.974647561849
641423	INTENSITY/STRENGTH	35.006122449	0.910073454394
17617	INTENSITY/STRENGTH	49.1795918367	0.999730772178
8082	INTENSITY/STRENGTH	22.7448979592	0.702863765098
7593	INTENSITY/STRENGTH	68.2387755102	0.866938827155
8137	INTENSITY/STRENGTH	52.9408163265	0.996540639733
8175	INTENSITY/STRENGTH	41.812244898	0.973184266556
62900	INTENSITY/STRENGTH	45.2959183673	0.991148646397
8184	INTENSITY/STRENGTH	48.4346938776	0.999019926697
16324	INTENSITY/STRENGTH	52.9612244898	0.996492459808
7059	INTENSITY/STRENGTH	68.2591836735	0.866640884632
8908	INTENSITY/STRENGTH	51.9224489796	0.998521675968
638014	INTENSITY/STRENGTH	51.4469387755	0.999162547272
5541	INTENSITY/STRENGTH	49.3204081633	0.999815261974
637566	INTENSITY/STRENGTH	64.7428571428	0.913059265306
2969	INTENSITY/STRENGTH	53.3448979592	0.995524663057
7047	INTENSITY/STRENGTH	14.6979591836	0.50150636568
98330	INTENSITY/STRENGTH	35.7551020408	0.918833152853
61386	INTENSITY/STRENGTH	13.912244898	0.479069572678
7654	INTENSITY/STRENGTH	38.7428571429	0.949310693878
243	INTENSITY/STRENGTH	75.1469387755	0.747052588089
61192	INTENSITY/STRENGTH	58.987755102	0.96768810329
62580	INTENSITY/STRENGTH	60.1081632653	0.959130014161
12810	INTENSITY/STRENGTH	66.2673469388	0.894149369429
8658	VALENCE/PLEASANTNESS	62.5329725896	0.937169839227
7720	VALENCE/PLEASANTNESS	44.2043156001	0.986564016935
325	VALENCE/PLEASANTNESS	44.1916809611	0.986505371977
521238	VALENCE/PLEASANTNESS	45.3820114846	0.991469672829
8051	VALENCE/PLEASANTNESS	45.1554689165	0.990612207432
62444	VALENCE/PLEASANTNESS	21.6384937661	0.678249985658
101604	VALENCE/PLEASANTNESS	46.0055781196	0.993617837536
778574	VALENCE/PLEASANTNESS	45.4200621561	0.991609667738
7820	VALENCE/PLEASANTNESS	45.8597981371	0.993143491414
61199	VALENCE/PLEASANTNESS	44.3111695301	0.987054883154
31265	VALENCE/PLEASANTNESS	46.1443087957	0.994053458135
8615	VALENCE/PLEASANTNESS	45.9567716574	0.993460921828
1551246	VALENCE/PLEASANTNESS	45.3354954714	0.991296959001
6584	VALENCE/PLEASANTNESS	45.7735878454	0.99285497612
5960	VALENCE/PLEASANTNESS	43.9057460749	0.985144027639
61918	VALENCE/PLEASANTNESS	44.7705064778	0.989060959
8797	VALENCE/PLEASANTNESS	45.4697363063	0.991790684346
31260	VALENCE/PLEASANTNESS	43.2137502025	0.981578725475
18554	VALENCE/PLEASANTNESS	44.2616551937	0.986828559554
12748	VALENCE/PLEASANTNESS	43.4682350437	0.982934418622
11525	VALENCE/PLEASANTNESS	44.5003066678	0.987901349301
8063	VALENCE/PLEASANTNESS	43.8890102729	0.985062321822
440967	VALENCE/PLEASANTNESS	44.99629705	0.989985182715
31234	VALENCE/PLEASANTNESS	44.5799037268	0.988249022556
7409	VALENCE/PLEASANTNESS	44.2594271044	0.986818329132
6106	VALENCE/PLEASANTNESS	44.092018538	0.986038302018
8918	VALENCE/PLEASANTNESS	45.7198543688	0.99267214135
10748	VALENCE/PLEASANTNESS	45.508039094	0.991928914888
62725	VALENCE/PLEASANTNESS	23.1108531868	0.710789513462
7122	VALENCE/PLEASANTNESS	45.4159732801	0.991594679613
24197	VALENCE/PLEASANTNESS	45.8665887596	0.993165964607
1032	VALENCE/PLEASANTNESS	44.0133058056	0.985663797049
11980	VALENCE/PLEASANTNESS	45.6126354686	0.992300412987
11086	VALENCE/PLEASANTNESS	45.3534532592	0.991363841354
7937	VALENCE/PLEASANTNESS	44.28751584	0.986947009889
7792	VALENCE/PLEASANTNESS	43.9743893876	0.985476806699
13436	VALENCE/PLEASANTNESS	21.2119144282	0.668498451644
326	VALENCE/PLEASANTNESS	63.2515546231	0.929758520028
62332	VALENCE/PLEASANTNESS	45.6539279902	0.992444663234
13561	VALENCE/PLEASANTNESS	45.3003641627	0.991165369199
7361	VALENCE/PLEASANTNESS	43.8842881001	0.985039227183
93375	VALENCE/PLEASANTNESS	44.5603037094	0.988163881707
7147	VALENCE/PLEASANTNESS	44.3342947115	0.987159913433
641423	VALENCE/PLEASANTNESS	45.7107738374	0.992641015571
17617	VALENCE/PLEASANTNESS	46.0741371563	0.993835040373
8082	VALENCE/PLEASANTNESS	44.2902370427	0.986959442789
7593	VALENCE/PLEASANTNESS	45.2156466937	0.990843985376
8137	VALENCE/PLEASANTNESS	45.6802602588	0.992535939427
8175	VALENCE/PLEASANTNESS	44.4217455035	0.987553230709
62900	VALENCE/PLEASANTNESS	44.9203508816	0.989678865933
8184	VALENCE/PLEASANTNESS	44.2959861793	0.986985690533
16324	VALENCE/PLEASANTNESS	45.6064231915	0.992278593131
7059	VALENCE/PLEASANTNESS	44.4968922116	0.987886321868
8908	VALENCE/PLEASANTNESS	45.866160698	0.99316454905
638014	VALENCE/PLEASANTNESS	45.4228700916	0.991619952721
12587	VALENCE/PLEASANTNESS	43.8396302726	0.984819937929
5541	VALENCE/PLEASANTNESS	45.8045342685	0.992959226918
61670	VALENCE/PLEASANTNESS	44.3621657415	0.98728592995
637566	VALENCE/PLEASANTNESS	45.1530638942	0.990602884154
2969	VALENCE/PLEASANTNESS	44.5841121867	0.988267263677
7047	VALENCE/PLEASANTNESS	44.7905160279	0.989144510698
98330	VALENCE/PLEASANTNESS	43.7912366925	0.984580503277
61386	VALENCE/PLEASANTNESS	45.4281896989	0.991639420228
7654	VALENCE/PLEASANTNESS	45.6903940616	0.992570918662
243	VALENCE/PLEASANTNESS	44.8668753757	0.989460412637
61192	VALENCE/PLEASANTNESS	45.4175409192	0.991600427509
61130	VALENCE/PLEASANTNESS	44.8946621594	0.989574210213
62580	VALENCE/PLEASANTNESS	45.8273529548	0.993035606654
12810	VALENCE/PLEASANTNESS	45.1187858099	0.990469499212
8658	BAKERY	5.14503280076	0.195212767022
7720	BAKERY	1.70216995066	0.0669278450098
325	BAKERY	3.42987147987	0.132489251847
521238	BAKERY	2.11756069145	0.0829088023453
8051	BAKERY	1.71794871795	0.0675374095988
62444	BAKERY	1.36500711168	0.0538549867012
101604	BAKERY	2.16028459216	0.0845446518788
778574	BAKERY	1.97115381766	0.0772919737574
7820	BAKERY	3.17460227188	0.122952851041
61199	BAKERY	1.56174636082	0.0614942337545
31265	BAKERY	5.01516859774	0.190545977484
8615	BAKERY	0.649135452965	0.0257968673841
1551246	BAKERY	4.69861111111	0.179113665895
6584	BAKERY	7.28158189246	0.270054701756
5960	BAKERY	1.14356398242	0.0452194638642
61918	BAKERY	9.55687658729	0.34574150745
8797	BAKERY	3.85369353149	0.148207359726
31260	BAKERY	0.80614579165	0.031985883251
18554	BAKERY	2.73198809146	0.106294020086
12748	BAKERY	0.57745825603	0.0229649470262
11525	BAKERY	3.5481870437	0.136891629229
8063	BAKERY	9.89609748155	0.356670801116
440967	BAKERY	1.45002563226	0.0571599955568
31234	BAKERY	7.98615838128	0.293934844975
7409	BAKERY	1.42074949341	0.0560225680873
6106	BAKERY	1.80164462334	0.0707674155942
8918	BAKERY	1.15352941176	0.0456089244291
10748	BAKERY	3.53351114271	0.13634616531
62725	BAKERY	1.32525879917	0.0523078276131
7122	BAKERY	4.37128824477	0.167208265423
